dataset,n,R,metodo,tiempo
factibilidad-prom,1,2,BT-F,0.001188
factibilidad-prom,2,4,BT-F,0.00122
factibilidad-prom,3,6,BT-F,0.001289
factibilidad-prom,4,8,BT-F,0.001424
factibilidad-prom,5,10,BT-F,0.00162
factibilidad-prom,6,12,BT-F,0.001927
factibilidad-prom,7,14,BT-F,0.002539
factibilidad-prom,8,16,BT-F,0.003358
factibilidad-prom,9,18,BT-F,0.004146
factibilidad-prom,10,20,BT-F,0.006682
factibilidad-prom,11,22,BT-F,0.008006
factibilidad-prom,12,24,BT-F,0.010925
factibilidad-prom,13,26,BT-F,0.016278
factibilidad-prom,14,28,BT-F,0.024636
factibilidad-prom,15,30,BT-F,0.032692
factibilidad-prom,16,32,BT-F,0.03861
factibilidad-prom,17,34,BT-F,0.053272
factibilidad-prom,18,36,BT-F,0.06797
factibilidad-prom,19,38,BT-F,0.089077
factibilidad-prom,20,40,BT-F,0.115057
factibilidad-prom,21,42,BT-F,0.151055
factibilidad-prom,22,44,BT-F,0.190463
factibilidad-prom,23,46,BT-F,0.22354
factibilidad-prom,24,48,BT-F,0.328573
factibilidad-prom,25,50,BT-F,0.375649
factibilidad-prom,26,52,BT-F,0.486343
factibilidad-prom,27,54,BT-F,0.586213
factibilidad-prom,28,56,BT-F,0.71732
factibilidad-prom,29,58,BT-F,0.933678
factibilidad-prom,30,60,BT-F,0.901623
factibilidad-prom,31,62,BT-F,1.05562
factibilidad-prom,32,64,BT-F,1.28492
factibilidad-prom,33,66,BT-F,1.50971
factibilidad-prom,34,68,BT-F,1.72003
factibilidad-prom,35,70,BT-F,2.019
factibilidad-prom,36,72,BT-F,2.2996
factibilidad-prom,37,74,BT-F,2.64621
factibilidad-prom,38,76,BT-F,3.03695
factibilidad-prom,39,78,BT-F,3.39306
factibilidad-prom,40,80,BT-F,4.00717
factibilidad-prom,41,82,BT-F,4.38811
factibilidad-prom,42,84,BT-F,5.70142
factibilidad-prom,43,86,BT-F,7.44551
factibilidad-prom,44,88,BT-F,6.45907
factibilidad-prom,45,90,BT-F,8.68709
factibilidad-prom,46,92,BT-F,7.56314
factibilidad-prom,47,94,BT-F,8.51001
factibilidad-prom,48,96,BT-F,9.23302
factibilidad-prom,49,98,BT-F,10.3267
factibilidad-prom,50,100,BT-F,11.4872
factibilidad-prom,51,102,BT-F,12.703
factibilidad-prom,52,104,BT-F,13.7433
factibilidad-prom,53,106,BT-F,15.1467
factibilidad-prom,54,108,BT-F,19.5463
factibilidad-prom,55,110,BT-F,18.7164
factibilidad-prom,56,112,BT-F,19.9802
factibilidad-prom,57,114,BT-F,24.5115
factibilidad-prom,58,116,BT-F,23.9188
factibilidad-prom,59,118,BT-F,26.0882
factibilidad-prom,60,120,BT-F,31.107
factibilidad-prom,61,122,BT-F,30.845
factibilidad-prom,62,124,BT-F,35.9098
factibilidad-prom,63,126,BT-F,36.2224
factibilidad-prom,64,128,BT-F,39.0697
factibilidad-prom,65,130,BT-F,42.2436
factibilidad-prom,66,132,BT-F,45.8183
factibilidad-prom,67,134,BT-F,49.3978
factibilidad-prom,68,136,BT-F,53.0264
factibilidad-prom,69,138,BT-F,57.0878
factibilidad-prom,70,140,BT-F,61.1687
factibilidad-prom,71,142,BT-F,69.5278
factibilidad-prom,72,144,BT-F,70.6433
factibilidad-prom,73,146,BT-F,75.4295
factibilidad-prom,74,148,BT-F,84.5341
factibilidad-prom,75,150,BT-F,86.4931
factibilidad-prom,76,152,BT-F,92.0709
factibilidad-prom,77,154,BT-F,98.764
factibilidad-prom,78,156,BT-F,106.394
factibilidad-prom,79,158,BT-F,112.257
factibilidad-prom,80,160,BT-F,120.313
factibilidad-prom,81,162,BT-F,130.432
factibilidad-prom,82,164,BT-F,137.311
factibilidad-prom,83,166,BT-F,146.89
factibilidad-prom,84,168,BT-F,154.76
factibilidad-prom,85,170,BT-F,165.479
factibilidad-prom,86,172,BT-F,174.035
factibilidad-prom,87,174,BT-F,184.538
factibilidad-prom,88,176,BT-F,194.776
factibilidad-prom,89,178,BT-F,204.415
factibilidad-prom,90,180,BT-F,218.403
factibilidad-prom,91,182,BT-F,230.985
factibilidad-prom,92,184,BT-F,244.083
factibilidad-prom,93,186,BT-F,254.884
factibilidad-prom,94,188,BT-F,270.365
factibilidad-prom,95,190,BT-F,284.255
factibilidad-prom,96,192,BT-F,300.15
factibilidad-prom,97,194,BT-F,313.684
factibilidad-prom,98,196,BT-F,331.517
factibilidad-prom,99,198,BT-F,350.014
factibilidad-prom,100,200,BT-F,367.287
factibilidad-prom,101,202,BT-F,385.798
factibilidad-prom,102,204,BT-F,407.536
factibilidad-prom,103,206,BT-F,426.308
factibilidad-prom,104,208,BT-F,446.325
factibilidad-prom,105,210,BT-F,467.923
factibilidad-prom,106,212,BT-F,491.101
factibilidad-prom,107,214,BT-F,514.261
factibilidad-prom,108,216,BT-F,541.556
factibilidad-prom,109,218,BT-F,568.843
factibilidad-prom,110,220,BT-F,588.056
factibilidad-prom,111,222,BT-F,618.039
factibilidad-prom,112,224,BT-F,644.242
factibilidad-prom,113,226,BT-F,672.219
factibilidad-prom,114,228,BT-F,702.695
factibilidad-prom,115,230,BT-F,733.94
factibilidad-prom,116,232,BT-F,766.624
factibilidad-prom,117,234,BT-F,799.717
factibilidad-prom,118,236,BT-F,842.348
factibilidad-prom,119,238,BT-F,869.814
factibilidad-prom,120,240,BT-F,923.518
factibilidad-prom,121,242,BT-F,954.355
factibilidad-prom,122,244,BT-F,986.81
factibilidad-prom,123,246,BT-F,1032.68
factibilidad-prom,124,248,BT-F,1070.56
factibilidad-prom,125,250,BT-F,1118.67
factibilidad-prom,126,252,BT-F,1162.06
factibilidad-prom,127,254,BT-F,1207.67
factibilidad-prom,128,256,BT-F,1255.74
factibilidad-prom,129,258,BT-F,1306.56
factibilidad-prom,130,260,BT-F,1360.33
factibilidad-prom,131,262,BT-F,1418.34
factibilidad-prom,132,264,BT-F,1465.2
factibilidad-prom,133,266,BT-F,1522.32
factibilidad-prom,134,268,BT-F,1575.75
factibilidad-prom,135,270,BT-F,1640.07
factibilidad-prom,136,272,BT-F,1698.44
factibilidad-prom,137,274,BT-F,1761.58
factibilidad-prom,138,276,BT-F,1824.66
factibilidad-prom,139,278,BT-F,1891.86
factibilidad-prom,140,280,BT-F,1964.89
factibilidad-prom,141,282,BT-F,2031.67
factibilidad-prom,142,284,BT-F,2111.46
factibilidad-prom,143,286,BT-F,2182.97
factibilidad-prom,144,288,BT-F,2262.03
factibilidad-prom,145,290,BT-F,2351.83
factibilidad-prom,146,292,BT-F,2436.91
factibilidad-prom,147,294,BT-F,2494.42
factibilidad-prom,148,296,BT-F,2596.47
factibilidad-prom,149,298,BT-F,2779.42
factibilidad-prom,150,300,BT-F,2805.08
factibilidad-prom,151,302,BT-F,2957.52
factibilidad-prom,152,304,BT-F,3039.73
factibilidad-prom,153,306,BT-F,3104.11
factibilidad-prom,154,308,BT-F,3185.42
factibilidad-prom,155,310,BT-F,3310.91
factibilidad-prom,156,312,BT-F,3403.23
factibilidad-prom,157,314,BT-F,3523.9
factibilidad-prom,158,316,BT-F,3640.39
factibilidad-prom,159,318,BT-F,3797.93
factibilidad-prom,160,320,BT-F,3958.02
factibilidad-prom,161,322,BT-F,4061.79
factibilidad-prom,162,324,BT-F,4146.02
factibilidad-prom,163,326,BT-F,4392.66
factibilidad-prom,164,328,BT-F,4412.23
factibilidad-prom,165,330,BT-F,4566.61
factibilidad-prom,166,332,BT-F,4621.69
factibilidad-prom,167,334,BT-F,4709.48
factibilidad-prom,168,336,BT-F,4846.67
factibilidad-prom,169,338,BT-F,5143.93
factibilidad-prom,170,340,BT-F,5266.92
factibilidad-prom,171,342,BT-F,5382.45
factibilidad-prom,172,344,BT-F,5461.55
factibilidad-prom,173,346,BT-F,5619.57
factibilidad-prom,174,348,BT-F,5774.05
factibilidad-prom,175,350,BT-F,5942.15
factibilidad-prom,176,352,BT-F,6120.92
factibilidad-prom,177,354,BT-F,6295.54
factibilidad-prom,178,356,BT-F,6476.66
factibilidad-prom,179,358,BT-F,6655.19
factibilidad-prom,180,360,BT-F,6841.03
factibilidad-prom,181,362,BT-F,7045.0
factibilidad-prom,182,364,BT-F,7224.46
factibilidad-prom,183,366,BT-F,7427.19
factibilidad-prom,184,368,BT-F,7648.63
factibilidad-prom,185,370,BT-F,7842.32
factibilidad-prom,186,372,BT-F,8052.43
factibilidad-prom,187,374,BT-F,8278.01
factibilidad-prom,188,376,BT-F,8494.77
factibilidad-prom,189,378,BT-F,8757.42
factibilidad-prom,190,380,BT-F,9115.42
factibilidad-prom,191,382,BT-F,9258.03
factibilidad-prom,192,384,BT-F,9445.68
factibilidad-prom,193,386,BT-F,9683.87
factibilidad-prom,194,388,BT-F,9967.44
factibilidad-prom,195,390,BT-F,10385.7
factibilidad-prom,196,392,BT-F,10675.0
factibilidad-prom,197,394,BT-F,10789.2
factibilidad-prom,198,396,BT-F,11000.9
factibilidad-prom,199,398,BT-F,11282.9
factibilidad-prom,200,400,BT-F,11568.1
